"Financial Year","Return Type","Name","Total Donations Received","Number of Donors"
"2024-25","Member of House of Representatives Return","Dr Monique Ryan MP","180","4"
"2024-25","Member of House of Representatives Return","Hon Andrew Gee MP","4484","6"
"2024-25","Member of House of Representatives Return","Hon Andrew Hastie MP","1000","1"
"2024-25","Member of House of Representatives Return","Mr Andrew Wilkie MP","535","3"
"2024-25","Member of House of Representatives Return","Ms Allegra Spender MP","500","1"
"2024-25","Member of House of Representatives Return","Ms Kara Cook MP","0","0"
"2024-25","Member of House of Representatives Return","Ms Kate Chaney MP","1901","5"
"2024-25","Member of House of Representatives Return","Ms Zali Steggall OAM MP","174020","48"
"2024-25","Senator Return","Senator Anthony Chisholm","0","0"
"2024-25","Senator Return","Senator Kerrynne Liddle","22374","95"
"2024-25","Senator Return","Senator Lidia Thorpe","26458","158"
"2024-25","Senator Return","Senator Malcolm Roberts","0","0"
"2023-24","Member of House of Representatives Return","Dr Helen Haines MP","58318","176"
"2023-24","Member of House of Representatives Return","Dr Monique Ryan MP","681218","486"
"2023-24","Member of House of Representatives Return","Dr Sophie Scamps MP","144837","33"
"2023-24","Member of House of Representatives Return","Mr Andrew Wilkie MP","11411","10"
"2023-24","Member of House of Representatives Return","Ms Allegra Spender MP","567226","138"
"2023-24","Member of House of Representatives Return","Ms Kate Chaney MP","116059","82"
"2023-24","Member of House of Representatives Return","Ms Zali Steggall OAM MP","264127","98"
"2023-24","Member of House of Representatives Return","Ms Zoe Daniel MP","374010","342"
"2023-24","Senator Return","Senator Kerrynne Liddle","29700","19"
"2023-24","Senator Return","Senator Lidia Thorpe","15219","52"
"2022-23","Member of House of Representatives Return","Dr Helen Haines MP","3379","17"
"2022-23","Member of House of Representatives Return","Dr Monique Ryan MP","135150","220"
"2022-23","Member of House of Representatives Return","Dr Sophie Scamps MP","97046","58"
"2022-23","Member of House of Representatives Return","Mr Andrew Wilkie MP","1435","8"
"2022-23","Member of House of Representatives Return","Ms Allegra Spender MP","317803","57"
"2022-23","Member of House of Representatives Return","Ms Kate Chaney MP","26829","27"
"2022-23","Member of House of Representatives Return","Ms Maria Vamvakinou MP","0","0"
"2022-23","Member of House of Representatives Return","Ms Marion Scrymgour MP","0","0"
"2022-23","Member of House of Representatives Return","Ms Zali Steggall OAM MP","139864","282"
"2022-23","Member of House of Representatives Return","Ms Zoe Daniel MP","12468","18"
"2022-23","Senator Return","Senator Lidia Thorpe","100","1"
"2021-22","Member of House of Representatives Return","Dr Helen Haines MP","241","8"
"2021-22","Member of House of Representatives Return","Mr Andrew Wilkie MP","25","1"
"2021-22","Member of House of Representatives Return","Mr Antony Pasin MP","20000","1"
"2020-21","Member of House of Representatives Return","Dr Helen Haines MP","70066","282"
"2020-21","Member of House of Representatives Return","Hon Dr Andrew Leigh MP","0","0"
"2020-21","Member of House of Representatives Return","Hon Dr Anne Aly MP","12482","10"
"2020-21","Member of House of Representatives Return","Hon Robert Katter MP","0","0"
"2020-21","Member of House of Representatives Return","Mr Andrew Laming MP","7500","41"
"2020-21","Member of House of Representatives Return","Mr Andrew Wilkie MP","4265","12"
"2020-21","Member of House of Representatives Return","Mr Antonio Zappia MP","0","0"
"2020-21","Member of House of Representatives Return","Mr David Smith MP","0","0"
"2020-21","Member of House of Representatives Return","Ms Alicia Payne MP","0","0"
"2020-21","Member of House of Representatives Return","Ms Maria Vamvakinou MP","0","0"
"2020-21","Member of House of Representatives Return","Ms Susan Templeman MP","0","0"
"2020-21","Member of House of Representatives Return","Ms Zali Steggall OAM MP","157300","21"
"2020-21","Senator Return","Senator Concetta Fierravanti-Wells","0","0"
"2020-21","Senator Return","Senator Peter Whish-Wilson","0","0"
"2020-21","Senator Return","Senator the Hon James McGrath","0","0"
"2020-21","Senator Return","Senator the Hon Katy Gallagher","0","0"
